"row_id","ID_TGAS_source","RA_TGAS","DE_TGAS","pmRA_TGAS","pmDE_TGAS","parallax_TGAS","phot_g_mean_mag_TGAS","HRV"
1,5472450241103924224,156.23182631221437,-25.64640605247878,-51.71177260056882,-1.3171301511881086,9.95838949839289,9.8990624156966,17.929
2,5472934404177638016,155.6757147543367,-24.123087899001533,-4.27703776431915,-23.093280263535476,8.206443625705369,9.669932745468348,27.33
3,5472961651450144128,155.67257158269777,-23.774047564455586,-40.265352433716565,12.512513049404355,6.815757699583235,9.403665589028403,12.13
4,5470860587808517120,158.9734503220959,-25.017927387446985,-55.703022064933705,-124.27879662975211,18.450873110887358,10.119686672861922,38.949
5,3468060163078890752,184.89737863576525,-34.72327357479088,33.62106240601845,11.763310096325577,8.893462132547661,10.123850113157598,10.372
6,6158339888161766400,188.61283657498848,-34.31786307480478,-18.341161126369258,-20.464709933427123,3.368941365073726,9.852586829713339,34.075
7,6158610402382100096,188.1046316601183,-33.57970489591656,-92.66899310737847,-36.14502634320896,8.011266528794494,9.620809841126782,-20.148
8,6158160633407813888,188.96842670922464,-34.871054862461314,48.508284681693546,-14.660467986569948,4.286262014999961,9.936459984602394,36.845
9,6123173658014875136,213.83424541365062,-33.40234486253712,-24.90852292740452,-7.690603309286109,4.010081176048042,10.767653224679348,-11.692
10,6123181698193650176,213.84389869951852,-33.238665518890926,-27.09664130767473,-1.305977957598459,4.266140970612665,9.535751921865415,7.105
